filename,group,treatment,day,mean_nucleus_area,std_nucleus_area,mean_eccentricity,num_objects,mean_nn_distance,std_nn_distance,mean_intensity,edge_mean,edge_std
G2_10x_D3_F2_T2,G2,2,1,1171.8794992175274,549.7794261378322,0.7122074563256936,639,1169.6803065265833,566.6533047937826,0.5354116834261132,0.03811469879982741,0.03342011405128062
G6_10x_D5_F1_T5,G6,5,1,1107.498172959805,585.6766506838252,0.723362993735268,821,1182.9713182274268,565.8250467780123,0.527317980038491,0.03593702590750668,0.027093950913424356
G1_10x_C5_F3_T2,G1,2,1,1174.6680672268908,1206.8390840102022,0.730014671825462,238,1212.9920420185674,609.5098353049713,0.5756719732113966,0.02220577833346067,0.02071921847848656
G5_10x_G8_F2_T5,G5,5,1,1673.4663461538462,3129.4211108848926,0.7420042792735766,208,883.9175583382959,483.55767632269294,0.38735450688128,0.012534506306893565,0.010953938271991275
G1_10x_B4_F4_T1,G1,1,1,1919.9718875502008,614.4594346253067,0.5931865801769646,249,1198.1152826086254,569.1443671970094,0.5963511640441513,0.02000339385264115,0.013790100802658635
G5_10x_F8_F3_T4,G5,4,1,1419.2257217847769,2347.375994442709,0.7896411239849304,381,1073.0185663153984,558.0274267669116,0.34689524328972504,0.01745644865847429,0.019665965457165722
G1_10x_D4_F2_T3,G1,3,1,1110.1596385542168,2014.4438988225718,0.7579702380846796,664,1112.6239254297266,556.7321539915059,0.3285619406947563,0.045937214861762644,0.045830658843129646
G1_10x_B5_F3_T1,G1,1,1,1637.0701754385964,574.6933235457319,0.6052146740875304,114,1191.6957216931887,564.7026314204711,0.6646154508112206,0.019951690929218478,0.018341843835048634
G1_10x_C4_F1_T2,G1,2,1,1055.1984732824428,1257.1740751641535,0.6761747108248031,262,1193.681919709209,577.6085357066178,0.5012277384925675,0.020668587287728298,0.018825750207932743
G2_10x_E3_F2_T3,G2,3,1,1064.0816023738873,619.1237208897364,0.7499948865623756,674,1172.912496414459,565.0703733274012,0.6460993556008341,0.04481598896999719,0.04271190740441749
G5_10x_G6_F3_T1,G5,1,1,1074.989247311828,390.7521694743304,0.6243437165922242,186,1195.4218204241445,582.0089004495884,0.5371558998944237,0.022926116755588356,0.018106114235428714
G5_10x_G6_F4_T1,G5,1,1,1730.300518134715,3314.660415690705,0.6303011700600423,193,1122.446349609441,546.7354003826101,0.5808963019336278,0.026463748837691516,0.022015910831786313
G9_20x_B1_F1_T4,G9,4,2,1026.8,1329.4757463000217,0.7617745206150606,5,58.690389152496664,21.800572045193345,0.22292063477304666,0.05570670855379006,0.05316071698167476
G1_10x_E4_F1_T4,G1,4,1,937.0,1373.0378727478715,0.8070171565356117,6,64.53092815186662,28.9241170628246,0.08077956075835055,0.024491527594489887,0.02071723015747836
G11_20x_D2_F1_T3,G11,3,1,1041.0867579908677,1618.9516639448952,0.6488650402492517,438,1064.961967479138,522.1751943560829,0.2792125151032281,0.020722551003811533,0.018495230906524378
G11_20x_G2_F2_T1,G11,1,1,1754.3975155279504,2288.3972781951497,0.6523086632101854,483,1195.696355156638,575.4544461195142,0.4316886586989096,0.020489367758536537,0.015291342545587581
G5_10x_G8_F1_T5,G5,5,1,1266.485,3859.5329937409524,0.6805155070418217,200,1114.71200330176,565.0353649922095,0.5842677125241219,0.022259241233327887,0.021084248331021047
G2_10x_C4_F4_T1,G2,1,1,2109.5250737463125,14684.1880214124,0.642468481789735,339,1039.3872137053322,499.4153938783621,0.42436933061935095,0.03054724565578865,0.025882336897778347
G6_10x_F5_F4_T2,G6,2,1,559.0,386.7272940975333,0.736331175083708,5,946.4338007107041,624.365113688377,0.5398611508464011,0.016477066333817916,0.010841313379888692
G1_10x_D5_F2_T3,G1,3,1,895.4992481203008,564.6605131512355,0.7226493404145417,665,1166.2155224078026,560.1727857039199,0.1628413987345472,0.04014105149164949,0.038946507899914606
G1_10x_F5_F3_T5,G1,5,1,958.2604828462515,605.5433356798653,0.7072594153361198,787,1172.1417407920721,567.4028228115019,0.24372038899292012,0.06159189116219967,0.05715052588266926
G6_10x_G5_F3_T4,G6,4,1,1449.5632582322357,6016.17309454585,0.7375729119500595,577,1169.116472732093,588.6811361723888,0.30707695703034943,0.024407057540738134,0.017155496177358696
G2_10x_F4_F1_T4,G2,4,1,811.8032786885246,397.38922780458785,0.7739168084060695,793,1152.0379965058316,553.1023315969455,0.3546833030809296,0.02262058155788526,0.021979076019600186
